SourceFile,EXIF_BitsPerSample,XMP_BitsPerSample
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2263_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2265.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2270.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2270_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2272.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2275.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2275_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2278.tif,8,8
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2278_verso.tif,8 8 8,"[8, 8, 8]"
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2282.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2282_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2285.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2285_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2290.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2290_verso.tif,8 8 8,
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2296.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2298.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2301.tif,8,16
/home/juren/Temp/HSTL_raw-tiffs/Test-Set-Six/66-2302.tif,8,16
